asset_id,asset_type,region,install_year,criticality,der_density,customers_served
A0001,Transformer,North,2010,High,Low,19
A0002,CapacitorBank,North,2009,High,Low,233
A0003,CapacitorBank,North,1999,Low,Medium,108
A0004,Feeder,North,2000,High,Medium,534
A0005,CapacitorBank,North,2005,High,High,150
A0006,Feeder,South,2016,Medium,Low,1861
A0007,Feeder,South,2002,Medium,Medium,1231
A0008,CapacitorBank,North,2016,Medium,High,209
A0009,Recloser,North,2016,High,High,49
A0010,Transformer,North,2015,High,Low,145
A0011,Feeder,South,2004,Medium,High,3552
A0012,Transformer,Central,2016,Medium,Medium,77
A0013,Recloser,North,2020,Low,Low,148
A0014,Transformer,South,2013,Medium,High,115
A0015,Transformer,South,2000,Low,High,108
A0016,Recloser,Central,2002,Medium,Medium,11
A0017,Feeder,South,2016,Medium,Medium,2918
A0018,CapacitorBank,Central,2016,Medium,Low,216
A0019,Feeder,Central,2013,High,High,582
A0020,Feeder,South,2020,Medium,High,3700
A0021,Transformer,South,2010,High,Medium,6
A0022,Switch,Central,2003,High,Low,127
A0023,Feeder,North,2022,Medium,Low,2078
A0024,Switch,Central,2013,Low,Low,115
A0025,Switch,South,2006,Low,Medium,222
