inspection_id,asset_id,inspection_date,veg_clearance_ft,dominant_species,weather_exposure,noted_defect
I00001,A0018,2025-07-27,8.6,Pine,High,Corrosion
I00002,A0008,2025-09-30,1.5,Oak/Maple,Low,Insulator crack
I00003,A0001,2025-04-12,10.1,Oak/Maple,Moderate,Loose hardware
I00004,A0001,2025-10-03,5.3,Pine,High,Hotspot
I00005,A0011,2025-10-13,8.4,Willow/Poplar,Moderate,Hotspot
I00006,A0013,2025-05-27,5.1,Willow/Poplar,Moderate,Corrosion
I00007,A0002,2025-09-10,1.3,Oak/Maple,Moderate,Insulator crack
I00008,A0004,2025-06-25,7.4,Willow/Poplar,Low,Hotspot
I00009,A0005,2025-03-17,1.7,Pine,High,None
I00010,A0003,2025-09-01,7.6,Oak/Maple,High,Loose hardware
I00011,A0012,2025-02-11,4.7,Willow/Poplar,Low,Corrosion
I00012,A0015,2025-04-15,6.1,Willow/Poplar,Low,None
I00013,A0024,2025-06-24,9.0,Mixed Brush,High,Insulator crack
I00014,A0017,2025-12-05,2.9,Pine,Low,Hotspot
I00015,A0001,2024-11-23,6.6,Willow/Poplar,High,Loose hardware
I00016,A0017,2025-06-12,10.9,Pine,Low,Hotspot
I00017,A0018,2024-11-13,6.3,Oak/Maple,High,Insulator crack
I00018,A0008,2025-05-25,9.0,Oak/Maple,Low,Hotspot
I00019,A0016,2025-06-17,8.9,Willow/Poplar,Moderate,Corrosion
I00020,A0009,2025-09-08,8.5,Pine,Moderate,Loose hardware
I00021,A0012,2025-11-05,3.0,Oak/Maple,Moderate,Insulator crack
I00022,A0011,2025-09-03,6.1,Willow/Poplar,Moderate,Loose hardware
I00023,A0021,2025-11-03,10.1,Willow/Poplar,Moderate,Insulator crack
I00024,A0016,2025-09-16,5.5,Pine,Low,Corrosion
I00025,A0015,2025-05-25,9.0,Willow/Poplar,High,Insulator crack
I00026,A0006,2025-10-12,0.8,Mixed Brush,High,Insulator crack
I00027,A0020,2025-02-14,11.8,Pine,Low,Hotspot
I00028,A0018,2025-10-10,0.7,Willow/Poplar,High,Insulator crack
I00029,A0014,2025-09-08,10.0,Oak/Maple,Low,Loose hardware
I00030,A0007,2025-07-20,6.3,Pine,Moderate,Hotspot
I00031,A0014,2025-10-10,1.2,Pine,Moderate,Hotspot
I00032,A0017,2025-05-15,10.0,Oak/Maple,High,Insulator crack
I00033,A0017,2025-03-30,0.7,Mixed Brush,Low,Hotspot
I00034,A0001,2024-11-14,9.7,Oak/Maple,Low,Corrosion
I00035,A0020,2024-12-10,1.9,Willow/Poplar,Moderate,Hotspot
I00036,A0017,2025-03-07,6.0,Willow/Poplar,High,None
I00037,A0008,2025-09-10,3.7,Willow/Poplar,High,Corrosion
I00038,A0018,2025-12-02,9.2,Willow/Poplar,Moderate,Loose hardware
I00039,A0020,2025-04-02,7.5,Oak/Maple,High,Loose hardware
I00040,A0015,2025-03-31,6.6,Mixed Brush,High,Insulator crack
I00041,A0023,2025-03-24,10.6,Pine,High,Insulator crack
I00042,A0015,2025-10-07,5.3,Mixed Brush,Moderate,Loose hardware
I00043,A0003,2025-01-07,3.3,Willow/Poplar,Low,Loose hardware
I00044,A0004,2024-11-14,2.3,Pine,Low,Loose hardware
I00045,A0005,2025-04-21,3.0,Willow/Poplar,Moderate,Corrosion
I00046,A0006,2025-01-09,10.1,Oak/Maple,High,Corrosion
I00047,A0017,2025-05-24,4.4,Oak/Maple,Moderate,Loose hardware
I00048,A0003,2024-12-12,4.7,Pine,High,Corrosion
I00049,A0015,2024-12-21,0.7,Pine,High,Hotspot
I00050,A0010,2025-03-29,11.5,Willow/Poplar,Low,None
I00051,A0003,2025-08-03,3.6,Oak/Maple,Moderate,Insulator crack
I00052,A0014,2025-01-04,9.9,Pine,Moderate,Insulator crack
I00053,A0018,2025-03-28,7.1,Pine,Low,Loose hardware
I00054,A0002,2024-11-02,8.4,Mixed Brush,Low,Loose hardware
I00055,A0001,2025-01-26,1.5,Pine,Low,Hotspot
I00056,A0008,2025-11-12,3.5,Willow/Poplar,Moderate,None
I00057,A0011,2025-03-08,5.3,Pine,High,Insulator crack
I00058,A0002,2025-03-22,8.7,Willow/Poplar,Low,Loose hardware
I00059,A0002,2025-09-15,2.8,Pine,High,Loose hardware
I00060,A0017,2024-11-23,2.9,Mixed Brush,High,Insulator crack
